"Ultiboard Information Export File"

"Design Name  : SIPM_CONTR_2(SIPM_CONTR_2) - Bill Of Materials"
"Report Date  : 5 November 2009"
"Report Time  : 13:35"
"--------------------------------------------------------------------------------"

"VALUE","SHAPE","#","REFDES",,

"0","R0403S","7","R3,R4,R5,R12,R13,R14,R15"
"2µ2","C0603","2","C3,C5"
"4K7","R0603","1","R7"
"10K","R0603","3","R6,R8,R9"
"47µF","P_ELKO_D","1","C4"
"100","R0603","2","R1,R10"
"100NF","C0603","3","C1,C2,C6"
"120","R0603","2","R21,R23"
"470","R0603","5","R2,R11,R16,R17,R18"
"-","HEXSWSMD","1","SW1"
"ATM48P","TQFP-32","1","U1"
"HDR_1","BO2_7","3","J10,J11,J12"
"HDR_1","PIN","4","J1,J7,J8,J9"
"HDR_6","HDR2X3","1","J3"
"HDR_9","SIL9","1","J4"
"HDR_10","BU_TEL8H_X","2","J2,J5"
"HDR_11","D9VF","1","J6"
"IRLL3303","FET_SOT_223","1","T1"
"MAX3086","SO14","1","U6"
"S","SZ_M2_5","1","U10"
"X","LED_SOT23","1","D1"
